Name,Win,Loss,Timestamp
Pikachu,1,0,2025-05-16T10:00:00
Inteleon,1,0,2025-05-16T10:00:00
Blastoise,1,0,2025-05-16T10:00:00
Armarouge,0,1,2025-05-16T01:59:03.986Z
Cramorant,0,1,2025-05-16T01:59:03.986Z
Cinderace,0,1,2025-05-16T01:59:03.986Z
Armarouge,1,0,2025-05-16T02:19:36.402Z
Alolan-Raichu,1,0,2025-05-16T02:19:36.402Z
Cinderace,1,0,2025-05-16T02:19:36.402Z
Armarouge,0,1,2025-05-16T02:24:01.312Z
Alolan-Raichu,0,1,2025-05-16T02:24:01.312Z
Cinderace,0,1,2025-05-16T02:24:01.312Z
Armarouge,1,0,2025-05-16T02:28:00.267Z
Alolan-Raichu,1,0,2025-05-16T02:28:00.267Z
Cinderace,1,0,2025-05-16T02:28:00.267Z
Mewtwo,1,0,2025-05-16T02:28:00.267Z
Greninja,1,0,2025-05-16T02:28:00.267Z
