,WinRate,UsageRate,BanRate,Offense,Endurance,Mobility,Scoring,Support,Win,Loss,AdjustedWinRate,Mobility_Offense,Mobility_Endurance,Support_Scoring,MetaImpactScore,Style_Melee,Style_Ranged
WinRate,1.0,0.16670213711913878,0.3148782735058478,0.24169351624971147,0.09343127583632614,0.18907793309308066,-0.2813494230742494,-0.1594199540204033,-0.021483741665682083,,0.18570372408511393,0.2834845001409561,0.24939073033875395,-0.29714603231235726,0.21393363427147005,0.13005111437578926,-0.13005111437578926
UsageRate,0.16670213711913878,1.0,0.5677310380275119,-0.07366399759453796,-0.10699939508269396,0.032640207679730866,-0.01733525811692453,0.13717403368995487,0.21972093973419493,,-0.18938770949301853,0.0064590185989758,-0.13942799858097715,0.07176682752712923,0.8717509926143927,-0.059642293441858764,0.059642293441858764
BanRate,0.3148782735058478,0.5677310380275119,1.0,0.16229998053491906,-0.022247765090597043,0.0036329193735699676,-0.10799831891366356,0.06070252307075201,-0.049261883513247805,,0.10044752257462912,0.0869698005865706,0.006588516993579191,-0.0026096034736178843,0.6072007712121501,-0.10475649945492616,0.1047564994549262
Offense,0.24169351624971147,-0.07366399759453796,0.16229998053491906,1.0,-0.44459259540541757,0.32804900639668594,-0.015333460694207735,-0.6035323745744166,0.04801020659035899,,-0.009868219519124252,0.7385613957311904,0.015184324941810698,-0.5167750270074171,-0.11334614998236953,-0.23191437256130826,0.23191437256130826
Endurance,0.09343127583632614,-0.10699939508269396,-0.022247765090597043,-0.44459259540541757,1.0,-0.2719203376866183,-0.34479400107391517,0.19790138945180574,-0.0937829758431306,,0.10996612851804796,-0.3566499282569838,0.6229708500837008,-0.003444310744795162,-0.03200508294535403,0.2790091791356492,-0.2790091791356492
Mobility,0.18907793309308066,0.032640207679730866,0.0036329193735699676,0.32804900639668594,-0.2719203376866183,1.0,0.15714651969132987,-0.6557709686690456,-0.001231497209777747,,0.030752494398517554,0.8561372605381914,0.5307723447099224,-0.5570289262507836,0.031779354923118,0.19677301954081947,-0.19677301954081944
Scoring,-0.2813494230742494,-0.01733525811692453,-0.10799831891366356,-0.015333460694207735,-0.34479400107391517,0.15714651969132987,1.0,-0.17631122876771568,-0.08537444205308382,,0.038028665674651047,0.022864028444472644,-0.17286603179864268,0.2257547488220949,0.01168741791593794,0.017395280161570582,-0.017395280161570624
Support,-0.1594199540204033,0.13717403368995487,0.06070252307075201,-0.6035323745744166,0.19790138945180574,-0.6557709686690456,-0.17631122876771568,1.0,-0.01589284425839632,,-0.008718964878307808,-0.7388920691402404,-0.3740862411883571,0.865582991203801,0.15222208141640145,-0.18483635232220966,0.18483635232220974
Win,-0.021483741665682083,0.21972093973419493,-0.049261883513247805,0.04801020659035899,-0.0937829758431306,-0.001231497209777747,-0.08537444205308382,-0.01589284425839632,1.0,,-0.9862819117440266,0.04053303174699752,-0.10741530783539284,-0.02442213244792024,-0.2672026167645962,-0.23028309323591914,0.23028309323591914
Loss,,,,,,,,,,,,,,,,,
AdjustedWinRate,0.18570372408511393,-0.18938770949301853,0.10044752257462912,-0.009868219519124252,0.10996612851804796,0.030752494398517554,0.038028665674651047,-0.008718964878307808,-0.9862819117440266,,1.0,0.004278405950135734,0.1476636280989867,-0.02325696681012436,0.29799843755925454,0.2478445469501029,-0.24784454695010294
Mobility_Offense,0.2834845001409561,0.0064590185989758,0.0869698005865706,0.7385613957311904,-0.3566499282569838,0.8561372605381914,0.022864028444472644,-0.7388920691402404,0.04053303174699752,,0.004278405950135734,1.0,0.4141621781563202,-0.6631706926337864,-0.021585644954481426,0.024755084315285766,-0.024755084315285777
Mobility_Endurance,0.24939073033875395,-0.13942799858097715,0.006588516993579191,0.015184324941810698,0.6229708500837008,0.5307723447099224,-0.17286603179864268,-0.3740862411883571,-0.10741530783539284,,0.1476636280989867,0.4141621781563202,1.0,-0.4295234345316828,-0.060849062932372446,0.3180896273286146,-0.3180896273286146
Support_Scoring,-0.29714603231235726,0.07176682752712923,-0.0026096034736178843,-0.5167750270074171,-0.003444310744795162,-0.5570289262507836,0.2257547488220949,0.865582991203801,-0.02442213244792024,,-0.02325696681012436,-0.6631706926337864,-0.4295234345316828,1.0,0.0848767411156551,-0.20706993901688397,0.20706993901688395
MetaImpactScore,0.21393363427147005,0.8717509926143927,0.6072007712121501,-0.11334614998236953,-0.03200508294535403,0.031779354923118,0.01168741791593794,0.15222208141640145,-0.2672026167645962,,0.29799843755925454,-0.021585644954481426,-0.060849062932372446,0.0848767411156551,1.0,0.05319146267033138,-0.053191462670331396
Style_Melee,0.13005111437578926,-0.059642293441858764,-0.10475649945492616,-0.23191437256130826,0.2790091791356492,0.19677301954081947,0.017395280161570582,-0.18483635232220966,-0.23028309323591914,,0.2478445469501029,0.024755084315285766,0.3180896273286146,-0.20706993901688397,0.05319146267033138,1.0,-1.0
Style_Ranged,-0.13005111437578926,0.059642293441858764,0.1047564994549262,0.23191437256130826,-0.2790091791356492,-0.19677301954081944,-0.017395280161570624,0.18483635232220974,0.23028309323591914,,-0.24784454695010294,-0.024755084315285777,-0.3180896273286146,0.20706993901688395,-0.053191462670331396,-1.0,1.0
